title,releaseDate,retailPrice
adidas Ultra Boost 20 Dash Grey,2020-01-01 23:59:59,180.0
Reebok Royal BB 4500 Hi 2 White,2020-01-01 23:59:59,60.0
adidas Nite Jogger Ninja Time In,2019-12-31 23:59:59,130.0
adidas Nite Jogger Ninja Time In (GS),2019-12-31 23:59:59,120.0
Air Max 90 Undefeated White Blue Fury,2019-12-30 23:59:59,150.0
Air Max 90 Undefeated White Solar Red,2019-12-30 23:59:59,150.0
Air Max 90 Undefeated White Blue Fury (PS),2019-12-30 23:59:59,75.0
Air Max 90 Undefeated White Solar Red (TD),2019-12-30 23:59:59,50.0
Air Max 90 Undefeated Black Blue Fury,2019-12-30 23:59:59,150.0
Air Max 90 Undefeated Black Solar Red,2019-12-30 23:59:59,150.0
Air Max 90 Undefeated Black Blue Fury (TD),2019-12-30 23:59:59,50.0
Air Max 90 Undefeated Black Blue Fury (PS),2019-12-30 23:59:59,75.0
Air Max 90 Undefeated White Blue Fury (TD),2019-12-30 23:59:59,50.0
Air Max 90 Undefeated White Optic Yellow,2019-12-30 23:59:59,150.0
Jordan 6 Retro Washed Denim,2019-12-28 23:59:59,200.0
Jordan 6 Retro Washed Denim (GS),2019-12-28 23:59:59,150.0
Nike SB Dunk Low Raygun Tie-Dye Black,2019-12-28 23:59:59,100.0
Nike SB Dunk Low Raygun Tie-Dye Black (TD),2019-12-28 23:59:59,60.0
Nike Zoom Freak 1 Soul Glo,2019-12-28 23:59:59,120.0
Nike Zoom Freak 1 Soul Glo (GS),2019-12-28 23:59:59,100.0
Air Force 1 '07 LV8 Grey Suede,2019-12-28 23:59:59,120.0
Reebok Answer 5 Stars,2019-12-28 23:59:59,180.0
Jordan Team Showcase UNC,2019-12-28 23:59:59,140.0
Jordan Team Showcase Gym Red Black,2019-12-28 23:59:59,140.0
Converse Run Star Hike Hi Black White Gum,2019-12-28 23:59:59,100.0
Converse Run Star Hike Hi White Black Gum,2019-12-28 23:59:59,100.0
Air Max 90 Undefeated Black Optic Yellow,2019-12-27 23:59:59,150.0
Air Max 90 Undefeated Black Green,2019-12-27 23:59:59,150.0
Air Max 90 Undefeated White Green,2019-12-27 23:59:59,150.0
Air Max 90 Undefeated Black Optic Yellow (TD),2019-12-27 23:59:59,50.0
KD 12 Aunt Pearl,2019-12-27 23:59:59,150.0
Nike SB Dunk Low Raygun Tie-Dye White,2019-12-27 23:59:59,100.0
Kyrie 6 Concepts Khepri (Special Box),2019-12-27 23:59:59,140.0
Air Max 270 React size? Dragonfly,2019-12-27 23:59:59,182.0
